date,time,lat,lon,cog,sog,log,wind,pressure,battery,sail,diesel_1,diesel_2,water_1,water_2,observation
9/5,06:00,"37°10.2'N","040°40.8'W",042,4.5,2248,E7,1029,"53%",MGE,50,77,59,80,"Low wind, change mode & adjusted the AP HDG -15"
9/5,09:00,"37°20.2'N","040°25.7'W",041,4.2,2162,E7,1025,"50%",MGE,45,77,57,80,"Slow morning ☕"
9/5,12:30,"37°40.7'N","040°14.7'W",029,6.8,2185,SE9,1027,47,MGE,47,75,51,75,""
9/5,16:40,"38°00.7'N","039°57.7'W",069,4.7,2209,SE6,1028,57,MGE,47,74,100,76,"Sea state very calm. Saw dolphins a bit excited!"
9/5,21:03,"38°12.0'N","039°39.9'W",033,4.9,2230,SE8,1029,"89%",MGE,41,72,82,88,"Super calm, getting colder"
10/5,00:05,"38°24.3'N","039°26.3'W",075,5.3,2246,E11,1030,"89%",MGE,44,70,87,88,"Some boat seen, still making good progress before the Azores"
10/5,03:20,"38°36.7'N","039°15.4'W",084,3.6,2258,E5,1031,80,ME,45,70,80,87,"2 sailboats with us but split since no wind"
10/5,06:02,"38°38.5'N","039°06.2'W",093,3.5,2271,E7,1031,77,ME,43,69,80,86,"Cold evening! Beautiful night sky and red moonrise"
10/5,12:11,"38°53.5'N","038°43.0'W",025,5.0,2299,E9,1031,70,MGE,39,67,74,49,"Magnifiques croissants pour le petit-déjeuner!!!"
10/5,15:00,"38°56.5'N","038°33.9'W",092,3.0,2306,E8,1031,"65%",ME,39,63,70,75,"2 miles in one shift :( contemplating turning north or stopping"
10/5,18:00,"38°56.5'N","038°21.8'W",073,3.4,2316,E6,1031,66,ME,37,65,64,74,"Slower 10nm ever"
10/5,21:10,"38°56.4'N","038°08.5'W",100,3.8,2326,NE11,1032,62,ME,38,66,62,75,"Best olympics ever! Viva los mejores! Never forget the yatzy guys!!!"
11/5,00:00,"38°56.3'N","037°37.2'W",087,3.1,2335,N,1032,57,ME,39,68,59,74,"Very slow, just too much wind. Keep going"
11/5,03:00,"38°56.2'N","037°46.8'W",094,2.5,2343,NE,1032,"54%",MGE,37,64,57,73,"WATCH OUT!!! Illegal fishermen's buoys w/ lights!!!"
11/5,06:00,"38°56.2'N","037°37.3'W",092,2.6,2357,NE,1032,51,ME,35,62,56,74,"No more buoys spotted"
11/5,09:00,"38°56.0'N","037°??'W",113,4.7,2365,NE11,1032,47,MGE,38,57,55,70,"Just a course of hours of wind!!"
11/5,11:59,"38°55.9'N","037°02.3'W",092,5.6,2379,NE14,1032,44,MGE,31,62,50,66,"Genoa luffing w/ high frequency. Wind shifts a bit"
11/5,18:00,"38°55.3'N","036°21.6'W",088,4.5,2411,NE15,1030,"33%",MGE,35,56,21,58,"Getting wind, good speed straight to Azores!"
11/5,21:00,"38°55.2'N","036°03.3'W",097,4.3,2425,NNE15,1030,"34%",MGE,33,56,46,57,"Autopilot repeatedly malfunctioning, Dani steering, mast stabilizer maybe?"
12/5,00:30,"38°54.7'N","035°40.6'W",087,3.7,2443,E17,1030,59,MGE,37,39,73,50,"Fun night watch"
12/5,03:13,"38°52.0'N","035°27.2'W",150,9.6,2454,E12,1031,82,MGE,37,40,74,51,"Whale jumped out, had to start steering south by emergency"
12/5,06:00,"38°46.4'N","035°13.5'W",119,6.7,2469,E15,1030,78,MGE,36,40,74,50,"Fucking waves north."
12/5,09:00,"38°39.4'N","034°54.7'W",114,6.0,2484,NE17,1032,"98%",MGE,36,36,72,49,"Rain, clouds, getting windy, good speed & rainbow at sunset"
12/5,12:30,"38°30.0'N","034°33.8'W",122,5.0,2502,NE11,1032,"94%",MGE,37,33,66,48,"Farring away wind"
12/5,18:13,"38°23.1'N","034°05.9'W",109,5.2,2528,NE13,1033,85,MGE,36,35,55,21,""
13/5,00:00,"38°17.9'N","033°31.3'W",092,5.0,2554,NE13,1033,"62%",MGE,36,37,44,100,"Less waves, super chill & freezing night!!!"
